seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
Boxster,Boxster,YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic,1998,99880,Siyah,949950,2023-04-11,İstanbul,Üsküdar,40,104000.0,0.9603846153846154
Boxster,Boxster,YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic Yetkili Bayi,1998,99880,Siyah,949950,2023-04-11,İstanbul,Üsküdar,40,104000.0,0.9603846153846154
911,Carrera 4S,"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM",2006,98500,Siyah,2750000,2023-04-15,İstanbul,Şişli,40,81000.0,1.2160493827160495
Cayman,Cayman,STAR MOTORS'DAN BAYİ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE,2014,98500,Gri,2950000,2023-04-18,İstanbul,Kadıköy,40,54000.0,1.8240740740740742
Panamera,Panamera Diesel,BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA,2013,98500,Beyaz,4350000,2023-03-27,Antalya,Alanya,8,178000.0,0.5533707865168539
911,Carrera 4S,"""BODRUM OTO"" 2006 PORSCHE 911 CARRERA 4S 355 HP 4WD",2006,98500,Siyah,2665000,2023-03-07,Muğla,Bodrum,59,81000.0,1.2160493827160495
Panamera,Panamera Diesel,Porsche panemera diesel kusursuz en dolusu,2015,97800,Beyaz,4875000,2023-04-13,İstanbul,Bağcılar,40,136500.0,0.7164835164835165
Panamera,Panamera Diesel,Porsche panemera diesel kusursuz en dolusu,2015,97800,Beyaz,4575000,2023-04-13,İstanbul,Bağcılar,40,136500.0,0.7164835164835165
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4875000,2023-04-06,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4450000,2023-04-06,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4550000,2023-03-07,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
911,Carrera 4,"996 Carrera 4 Cabrio, Bayi Çıkışlı",2002,90600,Siyah,2050000,2023-04-18,İstanbul,Sarıyer,40,90600.0,1.0
911,Carrera 4,"Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK",2013,89900,Füme,5250000,2023-04-09,Ankara,Çankaya,7,89900.0,1.0
911,Carrera 4,"Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK",2013,89900,Füme,5250000,2023-03-10,Ankara,Çankaya,7,89900.0,1.0
Panamera,Panamera 4S Diesel,"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT",2017,87500,Siyah,9499900,2023-04-07,İstanbul,Bağcılar,40,99000.0,0.8838383838383839
Cayman,Cayman,BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO,2011,87500,Füme,2225500,2023-03-29,İstanbul,Sarıyer,40,87000.0,1.0057471264367817
Panamera,Panamera 4S Diesel,"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT",2017,87500,Siyah,9499900,2023-03-08,İstanbul,Bağcılar,40,99000.0,0.8838383838383839
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4825000,2023-04-16,İstanbul,Sarıyer,40,86150.0,1.0
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4825000,2023-03-17,İstanbul,Sarıyer,40,86150.0,1.0
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4695000,2023-03-17,İstanbul,Sarıyer,40,86150.0,1.0
Panamera,Panamera Diesel,2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE,2014,85950,Füme,4425000,2023-04-12,Ankara,Etimesgut,7,155000.0,0.5545161290322581
Panamera,Panamera Diesel,2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE,2014,85950,Füme,4425000,2023-03-13,Ankara,Etimesgut,7,155000.0,0.5545161290322581
911,Carrera 4S,Porsche 911 Carrera 4S,2010,84800,Siyah,4400000,2023-03-22,İstanbul,Kadıköy,40,83000.0,1.0216867469879518
Cayman,Cayman,TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ,2014,83500,Beyaz,3200000,2023-04-23,İstanbul,Beşiktaş,40,54000.0,1.5462962962962963
Cayman,Cayman,TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ,2014,83500,Beyaz,3200000,2023-03-24,İstanbul,Beşiktaş,40,54000.0,1.5462962962962963
Cayman,Cayman,TERTEMİZ KUSURSUZ BAYİ,2014,83500,Beyaz,3250000,2023-03-26,İstanbul,Gaziosmanpaşa,40,54000.0,1.5462962962962963
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6989000,2023-04-11,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6289000,2023-04-11,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6289000,2023-03-12,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7025000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7110000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7550000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
911,Carrera 4S,2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRKİYE DE TEK,2011,82500,Siyah,4300000,2023-03-13,İstanbul,Beşiktaş,40,64000.0,1.2890625
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,81500,Siyah,7050000,2023-04-01,Çorum,Kargı,24,82000.0,0.9939024390243902
Panamera,Panamera 4S Diesel,2017 PANAMERA 4S DİESEL-BAYİİ-SOĞU­TMA-AİRMATİC-ARKA AKS-21''JANT,2017,81400,Füme,8650000,2023-03-19,Trabzon,Akçaabat,75,99000.0,0.8222222222222222
Boxster,Boxster,BAVARIA GARAGE 2000 79.590 km PORSCHE BOXSTER BAYİ,2000,79590,Gümüş Gri,1395000,2023-03-29,İstanbul,Sarıyer,40,79590.0,1.0
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,79500,Siyah,7220000,2023-04-01,Çorum,Kargı,24,82000.0,0.9695121951219512
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,79500,Siyah,7450000,2023-04-01,Çorum,Kargı,24,82000.0,0.9695121951219512
911,Carrera 4S,"Baspinar Oto 2008 Porsche Carrera 4S-Doğuş,Bose,C­hrono,78.500km",2008,78500,Füme,3750000,2023-04-08,İstanbul,Sarıyer,40,89574.0,0.8763703753321276
911,Carrera 4S,"Baspinar Oto 2008 Porsche Carrera 4S-Doğuş,Bose,C­hrono,78.500km",2008,78500,Füme,3750000,2023-03-09,İstanbul,Sarıyer,40,89574.0,0.8763703753321276
911,Carrera S,2012 911 CARRERA S PDK_CHRONO_BOSE_CARP­LAY_S.EGZOZ_GERİ.GRŞ,2012,77900,Siyah,5650000,2023-03-24,İstanbul,Kadıköy,40,76450.0,1.0189666448659254
911,Carrera 4S,BOSS 2013 PORSCHE CARRERA 4s CABRIO VERGİ BARIŞLI GTS PAKET!,2013,77400,Beyaz,7500000,2023-04-17,İstanbul,Kadıköy,40,54632.0,1.41675208668912
911,Carrera 4S,BOSS 2013 PORSCHE CARRERA 4s CABRIO VERGİ BARIŞLI GTS PAKET!,2013,77400,Beyaz,7500000,2023-03-18,İstanbul,Kadıköy,40,54632.0,1.41675208668912
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-14,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-19,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1870000,2023-04-22,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,AY SONUNA KADAR BU FİYAT,2009,76500,Siyah,1650000,2023-04-22,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-07,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-01,İstanbul,Kadıköy,40,76500.0,1.0
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,73400,Beyaz,5580000,2023-04-14,İstanbul,Tuzla,40,54632.0,1.343534924586323
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,73400,Beyaz,5750000,2023-04-14,İstanbul,Tuzla,40,54632.0,1.343534924586323
911,Carrera 4,BAVARIA GARAGE 2000 71.950 km PORSCHE CARRERA 4,2000,71950,Gümüş Gri,1895000,2023-03-29,İstanbul,Sarıyer,40,133000.0,0.5409774436090226
911,Carrera 4S,2013 ÇIKIŞ CARRERA 4S PDK TAM DOLU YENİ KASA,2012,70500,Beyaz,5850000,2023-03-21,İstanbul,Kadıköy,40,66000.0,1.0681818181818181
911,Carrera 4S,-GARAGE 2008 PORSCHE 911 CARRERA 4S/BOSE/CHRONO/BAYİ,2008,68640,Siyah,3650000,2023-04-02,İstanbul,Beykoz,40,89574.0,0.766293790608882
911,Carrera 4S,2014 CARRERA 4S DOĞUŞ OTO ÇIKIŞLI,2014,68300,Gri,7100000,2023-04-20,İstanbul,Sarıyer,40,56000.0,1.2196428571428573
911,Turbo,ARS MOTORS 2001 *BAYİ* PORSCHE 911 TURBO 3.6 420HP 68.150 KM,2001,68150,Siyah,4025000,2023-03-29,İstanbul,Beşiktaş,40,68150.0,1.0
Panamera,Panamera Diesel,İLK SAHİBİNDEN HATASIZ 65.000 DE PANAMERA BAYİİ ÇIKIŞLI,2015,65500,Gri,6300000,2023-04-14,Bursa,Nilüfer,21,136500.0,0.47985347985347987
911,Carrera,"Doğuş çıkışlı, 2011 / 64.900 km 911 Carrera,sigara içilmemiş.",2011,64900,Siyah,4100000,2023-04-12,İstanbul,Ataşehir,40,64900.0,1.0
911,Carrera,"Doğuş çıkışlı, 2011 / 64.900 km 911 Carrera,sigara içilmemiş.",2011,64900,Siyah,4110000,2023-04-12,İstanbul,Ataşehir,40,64900.0,1.0
911,Carrera,"Doğuş çıkışlı, 64.870 km 911 Carrera,sigara içilmemiş,çok temiz.",2011,64870,Siyah,4030000,2023-04-05,İstanbul,Ataşehir,40,64900.0,0.999537750385208
911,Carrera,"Doğuş çıkışlı, 64.870 km 911 Carrera,sigara içilmemiş,çok temiz.",2011,64870,Siyah,4100000,2023-03-28,İstanbul,Ataşehir,40,64900.0,0.999537750385208
911,Turbo,MEHCAR 2010-BAYİ-911 TURBO TECHART-SOGUTM­A-CHRONO-BOSE,2010,64500,Siyah,4949000,2023-04-14,İstanbul,Küçükçekmece,40,64500.0,1.0
911,Turbo,MEHCAR 2010-BAYİ-911 TURBO TECHART-SOGUTM­A-CHRONO-BOSE,2010,64500,Siyah,4949000,2023-03-15,İstanbul,Küçükçekmece,40,64500.0,1.0
911,Carrera,BAVARIA GARAGE 1999 62.500 km PORSCHE CARRERA,1999,62500,Siyah,1995000,2023-03-29,İstanbul,Sarıyer,40,88000.0,0.7102272727272727
911,Turbo,'' VETTESS '' 2004 PORSCHE TURBO CABRIO BAYİ,2004,61400,Siyah,5600000,2023-04-17,İstanbul,Sarıyer,40,61400.0,1.0
911,Carrera GTS,EA MOTORS 2011 59 BİNKM BAYİ CARRERA GTS 3.8 PDK RWD CENTERLOCK,2011,59390,Kırmızı,4950000,2023-04-01,İstanbul,Bakırköy,40,59390.0,1.0
Panamera,Panamera 4S Diesel,2017 4S DİESEL-BAYİİ-5­8.000KM-SOĞUTMA -AİRMATİC-ARKA AKS-21''JANT,2017,58200,Mavi,9250000,2023-04-23,Trabzon,Akçaabat,75,99000.0,0.5878787878787879
Panamera,Panamera 4S Diesel,2017 4S DİESEL-BAYİİ-5­8.000KM-SOĞUTMA -AİRMATİC-ARKA AKS-21''JANT,2017,58200,Mavi,9250000,2023-03-24,Trabzon,Akçaabat,75,99000.0,0.5878787878787879
Cayman,S,HATASIZ DOKTORDAN DOĞUŞ ÇIKIŞLI,2013,57500,Siyah,3250000,2023-04-16,Bursa,Nilüfer,21,57500.0,1.0
Taycan,4S Performance Plus,Sahibinden bayi çıkışlı taycan 4s performance plus,2020,57500,Siyah,5100000,2023-03-24,Gaziantep,Şehitkamil,33,22000.0,2.6136363636363638
911,Turbo S,2011 TURBO S CENTERLOCK KARBON KOLTUK SERAMİK FREN BOYASIZ,2011,57500,Beyaz,7550000,2023-03-27,Ankara,Etimesgut,7,56750.0,1.013215859030837
Cayman,S,HATASIZ DOKTORDAN DOĞUŞ ÇIKIŞLI,2013,57500,Siyah,3250000,2023-03-16,Bursa,Nilüfer,21,57500.0,1.0
Panamera,Panamera 4 E-Hybrid,BERLİN MOTORS'DAN PORSCHE PANAMERA 4 E-HYBRID 2021 MODEL,2021,56400,Siyah,9500000,2023-03-14,İstanbul,Beylikdüzü,40,20218.0,2.7895934315956077
911,Carrera 4,Sahibinden Cok Temiz Porsche 911 Carrera 4,2006,54130,Gümüş Gri,3290000,2023-03-24,Ankara,Çankaya,7,60672.0,0.8921743143459916
Boxster,Boxster,"2013 PORSCHE BOXSTER BAYİ ""51.000KM""SİYAH/BEJ 20JANT+PDK HATASIZ",2013,51390,Siyah,3200000,2023-03-28,İzmir,Konak,41,51390.0,1.0
Boxster,Boxster,"2013 PORSCHE BOXSTER BAYİ ""51.000KM""SİYAH/BEJ 20JANT+PDK HATASIZ",2013,51390,Siyah,3100000,2023-03-28,İzmir,Konak,41,51390.0,1.0
Panamera,Panamera 4S,YENİKÖY MOTORS İZMİR-2018 PORSCHE PANAMERA 4S-SOĞUTMA-BAYİ,2018,51300,Beyaz,10300000,2023-04-14,İzmir,Bayraklı,41,50800.0,1.0098425196850394
Panamera,Panamera 4S,BAYİ ÇıKIŞLI hatasız boyasız panamera 4S,2018,50800,Beyaz,10500000,2023-04-06,İzmir,Bayraklı,41,50800.0,1.0
911,Carrera S,BAVARIA GARAGE 2009 49.500 km PORSCHE CARRERA S BAYİ,2009,49500,Siyah,4455000,2023-04-16,İstanbul,Sarıyer,40,49500.0,1.0
911,Carrera S,BAVARIA GARAGE 2009 49.500 km PORSCHE CARRERA S BAYİ,2009,49500,Siyah,4455000,2023-03-17,İstanbul,Sarıyer,40,49500.0,1.0
718,Boxster,BADEMLİ MOTORS 2017 PORSCHE 718 BOXSTER/MATRIX/BOSE,2017,49500,Gri,3550000,2023-03-15,Bursa,Mudanya,21,38000.0,1.3026315789473684
718,Boxster,HANCAR MOTORS -718 BOXSTER-20'J­ANT-ADAPTİF FAR-NAVİGSY­ON-ORJİNAL,2016,48500,Mavi,3990000,2023-04-05,İstanbul,Bahçelievler,40,46000.0,1.0543478260869565
718,Boxster,HANCAR MOTORS -718 BOXSTER-20'J­ANT-ADAPTİF FAR-NAVİGSY­ON-ORJİNAL,2016,48500,Mavi,3750000,2023-04-05,İstanbul,Bahçelievler,40,46000.0,1.0543478260869565
Panamera,Panamera Diesel,2013 Air Soğtma Keyless.Geri Görş.E.Bagaj 47.500km**g­animotors**,2013,47500,Beyaz,4725000,2023-04-16,Antalya,Alanya,8,178000.0,0.26685393258426965
Panamera,Panamera Diesel,2013 Air Soğtma Keyless.Geri Görş.E.Bagaj 47.500km**g­animotors**,2013,47500,Beyaz,4749000,2023-03-17,Antalya,Alanya,8,178000.0,0.26685393258426965
Panamera,Panamera 4 Sport Turismo,2019 DOĞUŞ BAYİ ÇIKIŞLI HATASIZ-BOYAS­IZ-TRAMERSİZ PORSCHE,2019,47300,Gri,7749000,2023-04-10,Ankara,Etimesgut,7,45432.5,1.0411049358939086
Panamera,Panamera 4 Sport Turismo,2019 DOĞUŞ BAYİ ÇIKIŞLI HATASIZ-BOYAS­IZ-TRAMERSİZ PORSCHE,2019,47300,Gri,7750000,2023-04-10,Ankara,Etimesgut,7,45432.5,1.0411049358939086
911,Carrera,"""UNIVERSAL MOTORS"" 2001 PORSCHE 911 CARRERA TIPTRONIC 46.600 KM",2001,46600,Gri,1630000,2023-04-07,İstanbul,Şişli,40,46600.0,1.0
911,Carrera,"""UNIVERSAL MOTORS"" 2001 PORSCHE 911 CARRERA TIPTRONIC 46.600 KM",2001,46600,Gri,1630000,2023-03-08,İstanbul,Şişli,40,46600.0,1.0
718,Cayman,Porsche 718 Cayman 2017 Mavi / Kusursuz / Chrono / Garaj Aracı,2017,46400,Mavi,3925000,2023-04-14,İstanbul,Ataşehir,40,49000.0,0.9469387755102041
718,Cayman,Porsche 718 Cayman 2017 Mavi / Kusursuz / Garaj Aracı,2017,46300,Mavi,3850000,2023-04-14,İstanbul,Ataşehir,40,49000.0,0.9448979591836735
Panamera,Panamera GTS,SS MOTORS 2015 PANAMERA GTS-AIRMATIC-SPOR EGZOZ-CHRONO-KÖR NOKTA,2015,45910,Gri,6100000,2023-04-08,İstanbul,Şişli,40,45910.0,1.0
Panamera,Panamera GTS,SS MOTORS 2015 PANAMERA GTS-AIRMATIC-SPOR EGZOZ-CHRONO-KÖR NOKTA,2015,45910,Gri,6100000,2023-03-07,İstanbul,Şişli,40,45910.0,1.0
718,Boxster,HANCAR 2016 PORSCHE 718 BOXSTER NAVİGASYON ADAPTİF FAR 20İNÇ JNT,2016,45250,Siyah,3475000,2023-04-16,İstanbul,Eyüpsultan,40,46000.0,0.9836956521739131
718,Boxster,HANCAR 2016 PORSCHE 718 BOXSTER NAVİGASYON ADAPTİF FAR 20İNÇ JNT,2016,45250,Siyah,3295000,2023-03-17,İstanbul,Eyüpsultan,40,46000.0,0.9836956521739131
911,Carrera 4S,"PORSCHE 911 CARRERA 4S BAYİ CHRONO/BOSE/SPOR EG./ISITMA,SOĞUTMA",2019,45100,Siyah,9750000,2023-04-14,İzmir,Karşıyaka,41,17000.0,2.652941176470588
Panamera,Panamera Diesel,2015 BAYİ PORSCHE PANAMERA DIESEL 44.500 KM+NAVİ+BOS­E+SOĞUTMA+,2015,44500,Beyaz,6650000,2023-04-01,İzmir,Gaziemir,41,136500.0,0.326007326007326
911,Turbo,TURBO PDK -BAYİ - SERAMİK FREN - TECHART EGZOZ / INTAKE / CARBON,2010,44200,Gri,7250000,2023-04-09,Aydın,Nazilli,11,64500.0,0.6852713178294574
911,Turbo,TURBO PDK -BAYİ - SERAMİK FREN - TECHART EGZOZ / INTAKE / CARBON,2010,44200,Gri,7250000,2023-03-10,Aydın,Nazilli,11,64500.0,0.6852713178294574
Taycan,4S Performance Plus,ESN MOTORS'DAN 2020 TAYCAN 4S PERFORMANCE PLUS BOYASIZ TRAMERSİZ,2020,42500,Siyah,4750063,2023-04-07,İstanbul,Küçükçekmece,40,22000.0,1.9318181818181819
Taycan,4S Performance Plus,ESN MOTORS'DAN 2020 TAYCAN 4S PERFORMANCE PLUS BOYASIZ TRAMERSİZ,2020,42500,Siyah,4750063,2023-03-08,İstanbul,Küçükçekmece,40,22000.0,1.9318181818181819
911,Carrera 4S,"Sahibinden, Doğuş bakımlı, mükemmel kondisyonda 4S - 42.000 km",2012,41750,Siyah,5980000,2023-04-09,İstanbul,Sarıyer,40,66000.0,0.6325757575757576
911,Carrera 4 GTS,YENİKÖY MOTORS 2015 PORSCHE 911 CARRERA 4 GTS - BOSE - BAYİ,2015,41600,Siyah,11650000,2023-03-27,İstanbul,Sarıyer,40,41600.0,1.0
911,Carrera 4 GTS,YENİKÖY MOTORS 2015 PORSCHE 911 CARRERA 4 GTS - BOSE - BAYİ,2015,41600,Siyah,11175000,2023-03-27,İstanbul,Sarıyer,40,41600.0,1.0
911,Turbo S,2013 911 TURBO S CHRONO PLUS_2026 GARANTİLİ_SOĞ­UTMA_HATASIZ,2013,41500,Beyaz,10450000,2023-03-25,İstanbul,Kadıköy,40,41147.0,1.0085789972537487
Taycan,4S Performance Plus,SAHİBİNDEN PORSCHE TAYCAN 4S PERFORMANCE PLUS,2021,41500,Gri,5200000,2023-03-29,İstanbul,Kadıköy,40,25000.0,1.66
911,Turbo S,2013 911 TURBO S CHRONO PLUS_2026 GARANTİLİ_SOĞ­UTMA_HATASIZ,2013,41500,Beyaz,10250000,2023-03-25,İstanbul,Kadıköy,40,41147.0,1.0085789972537487
718,Cayman,2018 718 CAYMAN 300 HP_CHRONO_BOSE_­20''JANT_F1_GE­Rİ.GRŞ_40.910KM,2018,40910,Gri,4245000,2023-04-08,İstanbul,Kadıköy,40,37455.0,1.092244026164731
911,Carrera 4S,2025 DOĞUŞ GARANTİLİ 2014 SON ATMOSFERİK MOTORLU CARRERA 4S,2013,39800,Beyaz,7100000,2023-04-23,Kocaeli,Gebze,52,54632.0,0.7285107629228291
911,Carrera 4S,2025 DOĞUŞ GARANTİLİ 2014 SON ATMOSFERİK MOTORLU CARRERA 4S,2013,39800,Beyaz,7100000,2023-03-21,Kocaeli,Gebze,52,54632.0,0.7285107629228291
Cayman,Cayman,2014 Porsche Cayman 2.7 PDK - 39500km - SOUL Egzoz - Alcantara,2014,39500,Siyah,3500000,2023-03-31,İstanbul,Sancaktepe,40,54000.0,0.7314814814814815
Taycan,4S Performance Plus,BOYASIZ DEĞİŞENSİZ TRAMERSİZ PORSCHE TAYCAN 4S ELECTİRİC,2020,37670,Beyaz,5100000,2023-04-15,Düzce,Merkez,27,22000.0,1.7122727272727272
Taycan,4S Performance Plus,BOYASIZ DEĞİŞENSİZ TRAMERSİZ PORSCHE TAYCAN 4S ELECTİRİC,2020,37670,Beyaz,5100000,2023-03-14,Düzce,Merkez,27,22000.0,1.7122727272727272
Panamera,Panamera 4S,-GO CAR- 2012 PORSCHE PANAMERA 4S BOSE/SOĞUTMA 37.500 KM BOYASIZ,2012,37500,Siyah,3675000,2023-04-14,İstanbul,Ataşehir,40,140000.0,0.26785714285714285
911,Carrera,BAVARIA GARAGE 2016 37.100 km PORSCHE 991.2 CARRERA BAYİ,2016,37100,Gümüş Gri,7795000,2023-04-16,İstanbul,Sarıyer,40,38000.0,0.9763157894736842
Boxster,Boxster,GALERAS 2011 PORSCHE BOXSTER DOĞUŞ ÇIKIŞLI 36.300 KM HATASIZ,2011,36300,Kırmızı,2750000,2023-04-07,İstanbul,Bahçelievler,40,99000.0,0.36666666666666664
Boxster,Boxster,GALERAS 2011 PORSCHE BOXSTER DOĞUŞ ÇIKIŞLI 36.300 KM HATASIZ,2011,36300,Kırmızı,2425000,2023-04-07,İstanbul,Bahçelievler,40,99000.0,0.36666666666666664
Boxster,Boxster,GALERAS 2011 PORSCHE BOXSTER DOĞUŞ ÇIKIŞLI 36.300 KM HATASIZ,2011,36300,Kırmızı,2475000,2023-03-08,İstanbul,Bahçelievler,40,99000.0,0.36666666666666664
911,Carrera S,BAVARIA GARAGE 2012 35.950 km PORSCHE 991 CARRERA S,2012,35950,Siyah,6295000,2023-04-18,İstanbul,Sarıyer,40,76450.0,0.4702419882275997
911,Carrera S,BAVARIA GARAGE 2012 35.950 km PORSCHE 991 CARRERA S,2012,35950,Siyah,6450000,2023-03-19,İstanbul,Sarıyer,40,76450.0,0.4702419882275997
Taycan,4S Performance Plus,ARDEN AŞ PORSCHE TAYCAN PERFORMANS PLUS SİYAH-KIRMIZI!,2020,34500,Siyah,5390000,2023-04-10,İzmir,Bornova,41,22000.0,1.5681818181818181
Panamera,Panamera 4S,ETİLERMOTOR­S-PANAMERA 4S-SOĞUTMA-S. EGZOZ-KARBON-M­ULTIMEDYA-PDCC,2017,34500,Beyaz,8790000,2023-04-13,İstanbul,Beşiktaş,40,34500.0,1.0
Taycan,4S Performance Plus,2020 taycan 4s performance plus,2020,33500,Siyah,5175000,2023-03-16,İzmir,Balçova,41,22000.0,1.5227272727272727
Taycan,4S Performance Plus,2020 taycan 4s performance plus,2020,33500,Siyah,5275000,2023-03-16,İzmir,Balçova,41,22000.0,1.5227272727272727
Taycan,4S Performance Plus,MLS MOTORS GÜVENCESİ İLE BAYİİ ÇIKIŞLI 4S PERFORMANCE PLUS,2021,30200,Füme,4825000,2023-04-10,Ankara,Akyurt,7,25000.0,1.208
Taycan,Turbo,Porsche Taycan Turbo - Metalik Carrera Beyaz & Bordo Deri İç,2020,29750,Beyaz,6300000,2023-04-09,İstanbul,Üsküdar,40,27000.0,1.1018518518518519
718,Boxster,Boxster 718,2017,29200,Beyaz,3550000,2023-04-21,İstanbul,Kadıköy,40,38000.0,0.7684210526315789
Taycan,4S Performance Plus,MODENA MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANS PLUS+ARKA AKS,2020,28150,Siyah,5675000,2023-03-15,İstanbul,Kadıköy,40,22000.0,1.2795454545454545
718,Boxster,CAR-LEO 2018 PORSCHE 718 BOXSTER CABRİO BAYİ ÇIKIŞLI BORDO TAVAN,2018,27750,Gri,3400000,2023-04-18,İstanbul,Bağcılar,40,19875.0,1.3962264150943395
718,Boxster,CAR-LEO 2018 PORSCHE 718 BOXSTER CABRİO BAYİ ÇIKIŞLI BORDO TAVAN,2018,27750,Gri,3400000,2023-03-19,İstanbul,Bağcılar,40,19875.0,1.3962264150943395
Taycan,Turbo,NOBEL MOTORS 2020 PORSCHE TAYCAN TURBO-ARKA AKS-YOLCU EKRN-PDCC,2020,26850,Beyaz,5600000,2023-03-20,İstanbul,Sarıyer,40,27000.0,0.9944444444444445
Taycan,Turbo,NOBEL MOTORS 2020 PORSCHE TAYCAN TURBO-ARKA AKS-YOLCU EKRN-PDCC,2020,26850,Beyaz,5450000,2023-03-20,İstanbul,Sarıyer,40,27000.0,0.9944444444444445
Taycan,4S Performance Plus,MILLENIUM- TAYCAN 4S/BOSE SES S/PANA. CAM T/MOBİL ŞARJ/YOLCU EKR,2021,26250,Siyah,5495000,2023-03-19,İzmir,Gaziemir,41,25000.0,1.05
Panamera,Panamera Diesel,CHRONO-PUSULA-KARBON FULL PANAMERA,2012,258560,Siyah,2475000,2023-03-09,Diyarbakır,Kayapınar,26,205000.0,1.2612682926829268
718,Boxster T,"2020 25,000 km de",2020,25650,Gri,4671000,2023-04-05,Antalya,Alanya,8,25650.0,1.0
